"id","tleaf_wk6","anet_wk6","gsw_wk6","ci.ca_wk6","vcmax25_wk6","jmax25_wk6","jmax25.vcmax25_wk6","rd25_wk6","tpu_wk6"
"e_y_350_29",26.522,25.913,0.53,0.758,119.086,232.663,1.954,4.434,15.109
"e_y_350_30",26.246,26.872,0.509,0.741,121.779,229.946,1.888,3.687,13.443
"e_y_350_31",27.217,33.722,0.659,0.752,68.333,136.567,1.999,1.031,9.998
"e_y_350_32",27.406,34.663,0.476,0.666,81.258,158.436,1.95,1.356,11.844
"e_y_630_33",26.954,19.99,0.266,0.657,98.138,173.33,1.766,2.357,11.586
"e_y_630_34",27.709,15.793,0.261,0.723,82.045,136.211,1.66,4.952,9.887
"e_y_630_35",27.522,42.132,0.757,0.726,87.178,170.994,1.961,1.025,12.624
"e_y_630_36",27.176,20.297,0.225,0.597,114.801,217.388,1.894,2.891,15.108
"e_y_70_10",26,22.139,0.431,0.75,103.565,193.005,1.864,4.092,12.131
"e_y_70_11",27.254,16.988,0.263,0.705,77.484,148.346,1.915,2.061,10.105
"e_y_70_12",27.497,19.308,0.214,0.598,112.373,198.543,1.767,3.441,12.774
"e_y_70_9",27.562,20.947,0.262,0.637,114.268,206.748,1.809,3.973,13.71
"e_n_105_50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_n_35_113",NA,NA,NA,NA,NA,NA,NA,NA,NA
"a_n_35_115",NA,NA,NA,NA,NA,NA,NA,NA,NA
